Best cheap hostel,Hostel URL,City,Country,Local Currency,Local Currency Code,Rank,Total USD,Attractions (USD),Cost Per Night (Hostel) (USD),Drinks Entertainment (USD),Meals (USD),Transportation (USD),TripAdvisor_Link
ZigZag Hostel,https://www.priceoftravel.com/AKievHostel,Kiev,Ukraine,Ukraine Hryvnia,UHR,1,26.486,0.57,5.7,3.42,16.416,0.38,https://www.tripadvisor.com/Attractions-g294474-Activities-Kiev.html
Pillows Party Hostel,https://www.priceoftravel.com/AKrakowHostel,Krakow,Poland,Polish Zlotych,PLN,2,28.42,4.64,8.236,6.96,6.96,1.624,https://www.tripadvisor.com/Attractions-g274772-Activities-Krakow_Lesser_Poland_Province_Southern_Poland.html
Hostel Inn Downtown,https://www.priceoftravel.com/ABelgradeHostel,Belgrade,Serbia,Euro,EUR,3,29.2268,3.72,6.1628,5.58,11.904,1.86,https://www.tripadvisor.com/Attractions-g294472-Activities-Belgrade.html
Little Bucharest Bar & Hostel,https://www.priceoftravel.com/ABucharestHostel,Bucharest,Romania,Romanian Leu,RON,4,30.267,3.24,9.315,4.05,12.312,1.35,https://www.tripadvisor.com/Attractions-g294458-Activities-Bucharest.html
Hostel Mostel,https://www.priceoftravel.com/ASofiaHostel,Sofia,Bulgaria,Bulgarian Leva,BGN,5,33.4215,3.78,12.3165,4.725,10.584,2.016,https://www.tripadvisor.com/Attractions-g294452-Activities-Sofia_Sofia_Region.html
Sziget City Hostel,https://www.priceoftravel.com/ABudapestHostel,Budapest,Hungary,Hungary Forint,HUF,6,35.616,7.2,8.936,4.2,12.48,2.8,https://www.tripadvisor.com/Attractions-g274887-Activities-Budapest_Central_Hungary.html
Travellers Home Hostel,https://www.priceoftravel.com/ASarajevoHostel,Sarajevo,Bosnia and Herzegovina,Euro,EUR,7,35.836,4.96,9.858,4.65,11.904,4.464,https://www.tripadvisor.com/Attractions-g294450-Activities-Sarajevo_Sarajevo_Canton_Federation_of_Bosnia_and_Herzegovina.html
Hostel Temza,https://www.priceoftravel.com/AZagrebHostel,Zagreb,Croatia,Croatian Kuna,HRK,8,38.08,5.1,9.18,6.12,14.28,3.4,https://www.tripadvisor.com/Attractions-g294454-Activities-Zagreb_Central_Croatia.html
Central Hostel Riga,https://www.priceoftravel.com/ARigaHostel,Riga,Latvia,Euro,EUR,9,36.952,3.72,8.06,7.44,14.88,2.852,https://www.tripadvisor.com/Attractions-g274967-Activities-Riga_Riga_Region.html
Chambers of the Boheme,https://www.priceoftravel.com/AIstanbulHostel,Istanbul,Turkey,Turkish Iira,TRY,10,34.5075,7.5,7.9075,7.5,9.6,2,https://www.tripadvisor.com/Attractions-g293974-Activities-Istanbul.html
Tatamka Hostel,https://www.priceoftravel.com/AWarsawHostel,Warsaw,Poland,Polish Zlotych,PLN,11,38.6367,7.83,10.3907,6.96,11.484,1.972,https://www.tripadvisor.com/Attractions-g274856-Activities-Warsaw_Mazovia_Province_Central_Poland.html
Hostel Merlin,https://www.priceoftravel.com/AceskyKrumlovHostel,Krumlov,Czech Republic,Czech Krona,CZK,12,40.376,4.9,14.602,4.41,14.112,2.352,https://www.tripadvisor.com/Attractions-g274688-Activities-Cesky_Krumlov_South_Bohemian_Region_Bohemia.html
Downtown Forest Hostel & Camping,https://www.priceoftravel.com/AVilniusHostel,Vilnius,Lithuania,Euro,EUR,13,39.928,3.72,9.92,7.44,16.368,2.48,https://www.tripadvisor.com/Attractions-g274951-Activities-Vilnius_Vilnius_County.html
Hostel Brickyard,https://www.priceoftravel.com/ABratislavaHostel,Bratislava,Slovakia,Euro,EUR,14,43.772,4.96,14.756,7.44,14.88,1.736,https://www.tripadvisor.com/Attractions-g274924-Activities-Bratislava_Bratislava_Region.html
CroParadise Green Hostel,https://www.priceoftravel.com/ASplitHostel,Split,Croatia,Croatian Kuna,HRK,15,45.9799,6.8,11.8439,7.14,17.136,3.06,https://www.tripadvisor.com/Attractions-g295370-Activities-Split_Split_Dalmatia_County_Dalmatia.html
Youth Hostel Anna,https://www.priceoftravel.com/ASantoriniHostel,Santorini,Greece,Euro,EUR,16,47.492,3.72,7.44,13.02,19.344,3.968,https://www.tripadvisor.com/Attractions-g189433-Activities-Santorini_Cyclades_South_Aegean.html
Plosaty Hostel,https://www.priceoftravel.com/AStPetersburgHostel,Saint Petersburg,Russia,Russian Ruble,RUB,17,46.682,6.8,7.14,10.2,21.012,1.53,https://www.tripadvisor.com/Attractions-g298507-Activities-St_Petersburg_Northwestern_District.html
Hostel 24,https://www.priceoftravel.com/ALjubljanaHostel,Ljubljana,Slovenia,Euro,EUR,18,51.4476,6.2,14.7436,7.44,20.088,2.976,https://www.tripadvisor.com/Attractions-g274873-Activities-Ljubljana_Upper_Carniola_Region.html
Czech Inn,https://www.priceoftravel.com/APragueHostel,Prague,Czech Republic,Czech Krona,CZK,19,53.41,14.7,12.985,5.145,18.228,2.352,https://www.tripadvisor.com/Attractions-g274707-Activities-Prague_Bohemia.html
Old Town Alur Hostel,https://www.priceoftravel.com/ATallinnHostel,Tallinn,Estonia,Euro,EUR,20,52.576,7.44,13.64,11.16,17.856,2.48,https://www.tripadvisor.com/Attractions-g274958-Activities-Tallinn_Harju_County.html
Los Amigos Backpackers Hostel,https://www.priceoftravel.com/ATenerifeHostel,Tenerife,Spain,Euro,EUR,21,55.18,6.2,18.476,9.3,17.856,3.348,https://www.tripadvisor.com/Attractions-g187479-Activities-Tenerife_Canary_Islands.html
Granny?s Inn Hostel,https://www.priceoftravel.com/AVallettaHostel,Valletta,Malta,Euro,EUR,22,53.196,7.44,13.392,9.3,19.344,3.72,https://www.tripadvisor.com/Attractions-g190328-Activities-Valletta_Island_of_Malta.html
Zorbas Hostel,https://www.priceoftravel.com/AAthensHostel,Athens,Greece,Euro,EUR,23,58.9,9.92,12.4,9.3,23.808,3.472,https://www.tripadvisor.com/Attractions-g189400-Activities-Athens_Attica.html
Fabric Hostel & Club,https://www.priceoftravel.com/ANaplesHostel,Naples,Italy,Euro,EUR,24,59.768,11.16,18.6,7.44,19.344,3.224,https://www.tripadvisor.com/Attractions-g187785-Activities-Naples_Province_of_Naples_Campania.html
Urban Garden Hostel,https://www.priceoftravel.com/ALisbonHostel,Lisbon,Portugal,Euro,EUR,25,61.3304,9.92,15.9464,11.16,20.832,3.472,https://www.tripadvisor.com/Attractions-g189158-Activities-Lisbon_Lisbon_District_Central_Portugal.html
Vagabond Hostel,https://www.priceoftravel.com/AMoscowHostel,Moscow,Russia,Russian Ruble,RUB,26,60.622,6.8,12.75,15.3,24.072,1.7,https://www.tripadvisor.com/Attractions-g298484-Activities-Moscow_Central_Russia.html
Barbieri Sol Hostel,https://www.priceoftravel.com/AMadridHostel,Madrid,Spain,Euro,EUR,27,65.968,12.4,18.6,7.44,23.808,3.72,https://www.tripadvisor.com/Attractions-g187514-Activities-Madrid.html
Instant Sleep Backpacker Hostel,https://www.priceoftravel.com/AHamburgHostel,Hamburg,Germany,Euro,EUR,28,71.1264,12.4,21.5264,11.16,22.32,3.72,https://www.tripadvisor.com/Attractions-g187331-Activities-Hamburg.html
Amistat Island Hostel Ibiza,https://www.priceoftravel.com/AIbizaHostel,Ibiza,Spain,Euro,EUR,29,72.664,12.4,23.56,11.16,22.32,3.224,https://www.tripadvisor.com/Attractions-g187460-Activities-Ibiza_Balearic_Islands.html
Antares Hostel,https://www.priceoftravel.com/ANiceHostel,Nice,France,Euro,EUR,30,73.284,9.92,24.676,11.16,23.808,3.72,https://www.tripadvisor.com/Attractions-g187234-Activities-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
Eastener House,https://www.priceoftravel.com/ABerlinHostel,Berlin,Germany,Euro,EUR,31,73.408,14.88,19.84,11.16,20.832,6.696,https://www.tripadvisor.com/Attractions-g187323-Activities-Berlin.html
YoHo international Youth Hostel,https://www.priceoftravel.com/ASalzburgHostel,Salzburg,Austria,Euro,EUR,32,74.152,12.4,17.36,11.16,26.784,6.448,https://www.tripadvisor.com/Attractions-g190441-Activities-Salzburg_Austrian_Alps.html
Hostel Santa Monaca,https://www.priceoftravel.com/AFlorenceHostel,Florence,Italy,Euro,EUR,33,74.896,14.88,23.56,11.16,22.32,2.976,https://www.tripadvisor.com/Attractions-g187895-Activities-Florence_Tuscany.html
High Street Hostel,https://www.priceoftravel.com/AEdinburghHostel,Edinburgh,Scotland,British Pound,GBP,34,77.958,21.3,17.182,12.78,22.152,4.544,https://www.tripadvisor.com/Attractions-g186525-Activities-Edinburgh_Scotland.html
Hostel City Central Old Town,https://www.priceoftravel.com/ADubrovnikHostel,Dubrovnik,Croatia,Croatian Kuna,HRK,35,80.036,17,20.4,15.3,23.256,4.08,https://www.tripadvisor.com/Attractions-g295371-Activities-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html
Egali Hostel,https://www.priceoftravel.com/ADublinHostel,Dublin,Ireland,Euro,EUR,36,77.128,12.4,18.6,18.6,23.808,3.72,https://www.tripadvisor.com/Attractions-g186605-Activities-Dublin_County_Dublin.html
St. Christopher?s Inn & Bauhaus Hostel,https://www.priceoftravel.com/ABrugesHostel,Bruges,Belgium,Euro,EUR,37,79.918,7.44,30.938,13.02,25.296,3.224,https://www.tripadvisor.com/Attractions-g188671-Activities-Bruges_West_Flanders_Province.html
Amistat Beach Hostel Barcelona,https://www.priceoftravel.com/ABarcelonaHostel,Barcelona,Spain,Euro,EUR,38,80.104,16.12,23.684,11.16,23.808,5.332,https://www.tripadvisor.com/Attractions-g187497-Activities-Barcelona_Catalonia.html
Wombats City Hostel Munich,https://www.priceoftravel.com/AMunichHostel,Munich,Germany,Euro,EUR,39,80.538,11.16,27.466,11.16,23.808,6.944,https://www.tripadvisor.com/Attractions-g187309-Activities-Munich_Upper_Bavaria_Bavaria.html
Luxembourg City Hostel,https://www.priceoftravel.com/ALuxembourgHostel,Luxembourg City,Luxembourg,Euro,EUR,40,81.158,7.44,31.186,13.02,24.552,4.96,https://www.tripadvisor.com/Attractions-g190340-Activities-Luxembourg.html
The Yellow,https://www.priceoftravel.com/ARomeHostel,Rome,Italy,Euro,EUR,41,82.77,14.88,29.202,11.16,23.808,3.72,https://www.tripadvisor.com/Attractions-g187791-Activities-Rome_Lazio.html
Wombats City Hostel & at The Naschmarkt,https://www.priceoftravel.com/AViennaHostel,Vienna,Austria,Euro,EUR,42,83.638,17.36,22.506,13.02,25.296,5.456,https://www.tripadvisor.com/Attractions-g190454-Activities-Vienna.html
Brxxl 5 City Centre Hostel,https://www.priceoftravel.com/ABrusselsHostel,Brussels,Belgium,Euro,EUR,43,89.032,12.4,29.76,14.88,26.784,5.208,https://www.tripadvisor.com/Attractions-g188644-Activities-Brussels.html
Queen Hostel,https://www.priceoftravel.com/AMilanHostel,Milan,Italy,Euro,EUR,44,85.436,12.4,32.736,13.02,22.32,4.96,https://www.tripadvisor.com/Attractions-g187849-Activities-Milan_Lombardy.html
Le Montclair by Hiphophostels,https://www.priceoftravel.com/AParisHostel,Paris,France,Euro,EUR,45,91.0408,14.88,31.5208,14.88,25.296,4.464,https://www.tripadvisor.com/Attractions-g187147-Activities-Paris_Ile_de_France.html
HI Bergen Hostel Montana,https://www.priceoftravel.com/ABergenHostel,Bergen,Norway,Norwegian Kroner,NOK,46,97.071,7.8,26.611,23.4,31.2,8.06,https://www.tripadvisor.com/Attractions-g190502-Activities-Bergen_Hordaland_Western_Norway.html
Happy Inn Lodge,https://www.priceoftravel.com/AInterlakenHostel,Interlaken,Switzerland,Swiss Franc,CHF,47,92.988,10.5,26.418,15.75,40.32,0,https://www.tripadvisor.com/Attractions-g188081-Activities-Interlaken_Bernese_Oberland_Canton_of_Bern.html
CheapSleep Helsinki,https://www.priceoftravel.com/AHelsinkiHostel,Helsinki,Finland,Euro,EUR,48,94.0912,8.68,28.6192,22.32,28.272,6.2,https://www.tripadvisor.com/Attractions-g189934-Activities-Helsinki_Uusimaa.html
Sleep in Heaven,https://www.priceoftravel.com/ACopenhagenHostel,Copenhagen,Denmark,Danish Kroner,DKK,49,99.2069,13.6,28.4869,20.4,28.56,8.16,https://www.tripadvisor.com/Attractions-g189541-Activities-Copenhagen_Zealand.html
City Backpackers Hostel,https://www.priceoftravel.com/AStockholmHostel,Stockholm,Sweden,Swedish Kronor,SEK,50,95.16,18,24.6,18,25.92,8.64,https://www.tripadvisor.com/Attractions-g189852-Activities-Stockholm.html
St. Christopher?s Hammersmith,https://www.priceoftravel.com/ALondonHostel,London,England,British Pound,GBP,51,104.654,21.3,29.678,17.04,29.82,6.816,https://www.tripadvisor.com/Attractions-g186338-Activities-London_England.html
Flying Pig Downtown,https://www.priceoftravel.com/AAmsterdamHostel,Amsterdam,Netherlands,Euro,EUR,52,106.764,19.84,45.756,14.88,19.344,6.944,https://www.tripadvisor.com/Attractions-g188590-Activities-Amsterdam_North_Holland_Province.html
Saga Poshtel Oslo Central,https://www.priceoftravel.com/AOsloHostel,Oslo,Norway,Norwegian Kroner,NOK,53,117.91,9.1,51.87,19.5,29.64,7.8,https://www.tripadvisor.com/Attractions-g190479-Activities-Oslo_Eastern_Norway.html
Reykjavik Hostel Village,https://www.priceoftravel.com/AReykjavikHostel,Reykjavik,Iceland,Iceland Kronur,ISK,54,113.86,15,32.66,21,37.2,8,https://www.tripadvisor.com/Attractions-g189970-Activities-Reykjavik_Capital_Region.html
Generator Venice,https://www.priceoftravel.com/AVeniceHostel,Venice,Italy,Euro,EUR,55,122.016,14.88,50.84,14.88,32.736,8.68,https://www.tripadvisor.com/Attractions-g187870-Activities-Venice_Veneto.html
City Backpacker Hostel Biber,https://www.priceoftravel.com/AZurichHostel,Zurich,Switzerland,Swiss Franc,CHF,56,123.123,15.75,40.803,22.05,39.06,5.46,https://www.tripadvisor.com/Attractions-g188113-Activities-Zurich.html
